epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,231.955,1.85021,8.48554,2.14131,0.69154,0.27239,0.21363,0.11603,1.36,5.20996,1.72387,0.0001818,0.0001818,0.0001818
2,487.15,1.50114,3.58062,1.71247,0.2676,0.67054,0.36419,0.19022,1.71611,3.61072,1.84616,0.000335794,0.000335794,0.000335794
3,732.606,1.47195,2.80771,1.66241,0.22788,0.49748,0.28437,0.11491,1.71938,5.16106,2.00665,0.000451991,0.000451991,0.000451991
4,939.335,1.44333,2.42903,1.62247,0.20322,0.59815,0.37685,0.20754,1.70382,4.85351,1.82764,0.000530392,0.000530392,0.000530392
5,1213.68,1.46588,2.28606,1.62743,0.23955,0.8816,0.34691,0.19853,1.45293,2.45243,1.59857,0.000549036,0.000549036,0.000549036
6,1417.93,1.32576,1.96554,1.49632,0.35962,0.69964,0.57276,0.25179,1.42474,2.49544,1.5925,0.000459045,0.000459045,0.000459045
7,1639.42,1.35299,1.86047,1.49998,0.34531,0.76184,0.49095,0.31291,1.21821,2.0071,1.38748,0.000369054,0.000369054,0.000369054
8,1844.22,1.254,1.66545,1.42176,0.3379,0.62896,0.57002,0.35364,1.25571,1.66399,1.32309,0.000279063,0.000279063,0.000279063
9,2074.89,1.17855,1.48843,1.37463,0.43359,0.81432,0.62895,0.38586,1.17879,1.49983,1.30239,0.000189072,0.000189072,0.000189072
10,2297.11,1.19357,1.4371,1.3968,0.68103,0.61869,0.75599,0.44933,1.09695,1.40118,1.25075,9.9081e-05,9.9081e-05,9.9081e-05
